Identification,Group,ImgBL,ImgVILI,Sample,Scan
Rat1,Con-VILI,1,1,MD_1264_A1,MD_1264_A1_1_Z0.0mm
Rat1,Con-VILI,1,1,MD_1264_A1,MD_1264_A1_1_Z3.3mm
Rat1,Con-VILI,1,1,MD_1264_A1,MD_1264_A1_1_Z6.6mm
Rat1,Con-VILI,1,1,MD_1264_A1,MD_1264_A1_1_Z9.9mm
Rat1,Con-VILI,1,1,MD_1264_A1,MD_1264_A1_1_Z13.2mm
Rat2,Ble-VILI,1,0,MD_1264_A2,MD_1264_A2_1_Z0.0mm
Rat2,Ble-VILI,1,0,MD_1264_A2,MD_1264_A2_1_Z3.3mm
Rat2,Ble-VILI,1,0,MD_1264_A2,MD_1264_A2_1_Z6.6mm
Rat2,Ble-VILI,1,0,MD_1264_A2,MD_1264_A2_1_Z9.9mm
Rat2,Ble-VILI,1,0,MD_1264_A2,MD_1264_A2_1_Z13.2mm
Rat3,Ble,0,0,MD_1264_A3,MD_1264_A3_1_Z0.0mm
Rat3,Ble,0,0,MD_1264_A3,MD_1264_A3_1_Z3.3mm
Rat3,Ble,0,0,MD_1264_A3,MD_1264_A3_1_Z6.6mm
Rat3,Ble,0,0,MD_1264_A3,MD_1264_A3_1_Z9.9mm
Rat4,Con-VILI,1,0,MD_1264_A4,MD_1264_A4_1_Z0.0mm_Z0.0mm_corr_phrt
Rat4,Con-VILI,1,0,MD_1264_A4,MD_1264_A4_1_Z0.0mm_Z3.3mm_corr_phrt
Rat4,Con-VILI,1,0,MD_1264_A4,MD_1264_A4_1_Z0.0mm_Z6.6mm_corr_phrt
Rat4,Con-VILI,1,0,MD_1264_A4,MD_1264_A4_1_Z0.0mm_Z9.9mm_corr_phrt
Rat5,Ble-VILI,1,1,MD_1264_A5,MD_1264_A5_1_Z0.0mm_corr_phrt
Rat5,Ble-VILI,1,1,MD_1264_A5,MD_1264_A5_1_Z3.3mm_corr_phrt
Rat5,Ble-VILI,1,1,MD_1264_A5,MD_1264_A5_1_Z6.6mm_corr_phrt
Rat5,Ble-VILI,1,1,MD_1264_A5,MD_1264_A5_1_Z9.9mm_corr_phrt
Rat6,Ble,0,0,MD_1264_A6,MD_1264_A6_1_Z0.0mm_corr_phrt
Rat6,Ble,0,0,MD_1264_A6,MD_1264_A6_1_Z3.3mm_corr_phrt
Rat6,Ble,0,0,MD_1264_A6,MD_1264_A6_1_Z6.6mm_corr_phrt
Rat6,Ble,0,0,MD_1264_A6,MD_1264_A6_1_Z9.9mm_corr_phrt
Rat6,Ble,0,0,MD_1264_A6,MD_1264_A6_1_Z13.2mm_corr_phrt
Rat8,Ble-VILI,1,1,MD_1264_A8,MD_1264_A8_1_Z0.0mm_corr_phrt
Rat8,Ble-VILI,1,1,MD_1264_A8,MD_1264_A8_1_Z3.3mm_corr_phrt
Rat8,Ble-VILI,1,1,MD_1264_A8,MD_1264_A8_1_Z6.6mm_corr_phrt
Rat8,Ble-VILI,1,1,MD_1264_A8,MD_1264_A8_1_Z9.9mm_corr_phrt
Rat9,Ble-VILI,1,1,MD_1264_A9,MD_1264_A9_Z0.0mm
Rat9,Ble-VILI,1,1,MD_1264_A9,MD_1264_A9_Z0.0mm_Z3.3mm
Rat9,Ble-VILI,1,1,MD_1264_A9,MD_1264_A9_Z0.0mm_Z6.6mm
Rat10,Con-VILI,1,1,MD_1264_A10,MD_1264_A10_Z0.0mm
Rat10,Con-VILI,1,1,MD_1264_A10,MD_1264_A10_Z6.6mm
Rat10,Con-VILI,1,1,MD_1264_A10,MD_1264_A10_Z9.9mm
Rat11,Ble,0,0,MD_1264_A11,MD_1264_A11_Z0.0mm
Rat11,Ble,0,0,MD_1264_A11,MD_1264_A11_Z3.3mm_corr_phrt
Rat11,Ble,0,0,MD_1264_A11,MD_1264_A11_Z6.6mm
Rat11,Ble,0,0,MD_1264_A11,MD_1264_A11_Z9.9mm
Rat11,Ble,0,0,MD_1264_A11,MD_1264_A11_Z13.2mm
Rat12,Ble-VILI,1,1,MD_1264_A12,MD_1264_A12_Z0.0mm_corr_phrt
Rat12,Ble-VILI,1,1,MD_1264_A12,MD_1264_A12_Z3.3mm_corr_phrt
Rat13,Con-VILI,1,1,MD_1264_A13,MD_1264_A13_1_Z0.0mm_corr_phrt
Rat13,Con-VILI,1,1,MD_1264_A13,MD_1264_A13_1_Z3.3mm_corr_phrt
Rat13,Con-VILI,1,1,MD_1264_A13,MD_1264_A13_1_Z6.6mm_corr_phrt
Rat13,Con-VILI,1,1,MD_1264_A13,MD_1264_A13_1_Z9.9mm_corr_phrt
Rat13,Con-VILI,1,1,MD_1264_A13,MD_1264_A13_1_Z13.2mm_corr_phrt
Rat14,Ble,0,0,MD_1264_A14,MD_1264_A14_Z0.0mm_corr_phrt
Rat14,Ble,0,0,MD_1264_A14,MD_1264_A14_Z3.3mm_corr_phrt
Rat14,Ble,0,0,MD_1264_A14,MD_1264_A14_Z6.6mm_corr_phrt
Rat14,Ble,0,0,MD_1264_A14,MD_1264_A14_Z9.9mm_corr_phrt
Rat14,Ble,0,0,MD_1264_A14,MD_1264_A14_Z13.2mm_corr_phrt
Rat16,Con-VILI,1,1,MD_1264_A16,MD_1264_A16_Z0.0mm_corr_phrt
Rat16,Con-VILI,1,1,MD_1264_A16,MD_1264_A16_Z3.3mm_corr_phrt
Rat18,Ble,0,0,MD_1264_A18,MD_1264_A18
Rat1,Con-VILI,1,1,MD_1264_B1,MD_1264_B1_1_Z0.0mm_corr_phrt
Rat1,Con-VILI,1,1,MD_1264_B1,MD_1264_B1_1_Z3.3mm_corr_phrt
Rat1,Con-VILI,1,1,MD_1264_B1,MD_1264_B1_1_Z6.6mm_corr_phrt
Rat2,Ble-VILI,1,0,MD_1264_B2,MD_1264_B2_1
Rat2,Ble-VILI,1,0,MD_1264_B2,MD_1264_B2_2
Rat3,Ble,0,0,MD_1264_B3,MD_1264_B3_1_Z0.0mm
Rat3,Ble,0,0,MD_1264_B3,MD_1264_B3_1_Z3.3mm
Rat3,Ble,0,0,MD_1264_B3,MD_1264_B3_1_Z6.6mm
Rat4,Con-VILI,1,0,MD_1264_B4,MD_1264_B4_1_Z0.0mm
Rat4,Con-VILI,1,0,MD_1264_B4,MD_1264_B4_1_Z3.3mm
Rat4,Con-VILI,1,0,MD_1264_B4,MD_1264_B4_1_Z6.6mm
Rat5,Ble-VILI,1,1,MD_1264_B5,MD_1264_B5_1_Z0.0mm
Rat5,Ble-VILI,1,1,MD_1264_B5,MD_1264_B5_1_Z3.3mm
Rat5,Ble-VILI,1,1,MD_1264_B5,MD_1264_B5_1_Z3.3mm_corr_phrt
Rat5,Ble-VILI,1,1,MD_1264_B5,MD_1264_B5_1_Z6.6mm
Rat9,Ble-VILI,1,1,MD_1264_B9,MD_1264_B9_Z0.0mm
Rat9,Ble-VILI,1,1,MD_1264_B9,MD_1264_B9_Z3.3mm
Rat9,Ble-VILI,1,1,MD_1264_B9,MD_1264_B9_Z6.6mm
Rat10,Con-VILI,1,1,MD_1264_B10,MD_1264_B10_Z0.0mm
Rat10,Con-VILI,1,1,MD_1264_B10,MD_1264_B10_Z3.3mm